x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA
-63.6,50.28333333,5693,HAVRE-SAINT-PIERRE A,QC,QUEBEC,CAN,501700000,-633600000,EST,37.8,7043018,YGV,71313,Aviation-Staffed,E,1,6,,,12/1/1983 0:00,7/24/2008 9:00,12/5/1983 5:00,7/24/2008 9:00,12/1/1983 0:00,7/24/2008 0:00,1/1/1984 0:00,12/1/1994 0:00,Y,N,Y
-82.30888889,42.99944444,44004,SARNIA CHRIS HADFIELD A,ON,ONTARIO,CAN,425958000,-821832000,EST,181,6127518,,,Aviation-Auto,,,,,,3/8/2005 7:00,7/28/2011 0:00,3/8/2005 7:00,3/2/2010 16:00,9/1/2005 0:00,7/28/2011 0:00,9/1/2005 0:00,12/1/2006 0:00,Y,N,Y
-89.32723278,48.36944444,4055,THUNDER BAY A,ON,ONTARIO,CAN,482210000,-891938038,EST,199,6048261,YQT,,Aviation-Staffed,C,1,4,,,1/1/1941 0:00,4/12/2012 13:00,1/1/1953 0:00,4/12/2012 13:00,8/1/1941 0:00,12/5/2004 0:00,1/1/1941 0:00,10/1/2004 0:00,Y,N,Y
-80.21666667,43.55,45407,GUELPH TURFGRASS,ON,ONTARIO,CAN,433300000,-801300000,EST,325,6143089,TGT,71833,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,9/28/2006 0:00,4/12/2022 7:00,12/15/2006 11:00,4/12/2022 7:00,9/28/2006 0:00,4/12/2022 0:00,12/1/2006 0:00,12/1/2006 0:00,Y,N,Y
-85.04722222,73.00638889,48973,ARCTIC BAY,NU,NUNAVUT,CAN,730023000,-850250000,EST,21.9,2400399,YAB,,Aviation-Auto,,,,NAVCAN,NAV Canada,1/13/2011 5:00,6/7/2022 12:30,1/13/2011 5:00,6/7/2022 12:30,10/29/2018 0:00,6/7/2022 0:00,,,Y,N,Y
-78.07694444,58.47194444,48974,INUKJUAK A,QC,QUEBEC,CAN,582819000,-780437000,EST,25.3,7103280,YPH,71306,Aviation-Auto,,,,NAVCAN,NAV Canada,1/10/2011 12:00,6/7/2022 12:30,1/10/2011 12:00,6/7/2022 12:30,1/13/2011 0:00,6/7/2022 0:00,,,Y,N,Y
-89.89694444,53.81777778,49488,BIG TROUT LAKE A,ON,ONTARIO,CAN,534904000,-895349000,EST,222.5,6010735,YTL,71675,Aviation-Auto,,,,NAVCAN,NAV Canada,10/17/2011 10:00,6/7/2022 12:30,10/17/2011 10:00,6/7/2022 12:30,10/20/2011 0:00,6/7/2022 0:00,,,Y,N,Y
-80.79613333,46.63224722,49508,SUDBURY CLIMATE,ON,ONTARIO,CAN,463756090,-804746080,EST,348,6068145,TSB,71733,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,8/4/2011 14:00,6/7/2022 12:30,8/4/2011 14:00,6/7/2022 12:30,8/12/2011 0:00,6/7/2022 0:00,,,Y,N,Y
-76.525,64.23027778,50328,KINNGAIT AIRPORT,NU,NUNAVUT,CAN,641349000,-763130000,EST,48.2,2400637,YTE,71366,Aviation-Auto,,,,NAVCAN,NAV Canada,6/11/2012 13:00,6/7/2022 12:30,6/11/2012 13:00,6/7/2022 12:30,6/14/2012 0:00,6/7/2022 0:00,,,Y,N,Y
-76.59666667,44.22583333,50428,KINGSTON A,ON,ONTARIO,CAN,441333000,-763548000,EST,92.4,6104149,YGK,,Aviation-Staffed,,,,NAVCAN,NAV Canada,7/9/2012 13:00,6/7/2022 12:30,7/9/2012 13:00,6/7/2022 12:30,,,,,N,N,Y
