CLIMATE_IDENTIFIER,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1126511,,,,,,,,,,,,,
112FN0M,55156.4,49471.6,,53832.5,55785.9,65659.3,58627.3,48781.5,55050.3,49967.6,53481.0,54427.4,
1086558,27820.5,15362.0,22559.4,29236.4,24011.7,32746.5,31322.6,17821.6,25260.1,19222.3,24288.0,,
1096631,53439.0,37145.7,44091.5,51728.8,43959.6,57571.0,57215.9,44521.5,45741.8,41573.4,44497.8,,
1096629,,36923.7,43156.7,51547.7,40582.1,57857.4,55853.9,44412.5,45490.6,44102.4,46500.0,57151.3,
1176745,,,58922.2,65368.7,60722.7,67844.7,72286.5,59079.0,59786.7,58490.5,57785.7,64658.8,63986.1
1176755,,,61376.9,65614.3,60574.4,70223.8,71916.7,60566.4,60873.0,58199.9,59615.0,64481.9,64597.7
1056869,,59953.9,59584.0,75648.9,78029.8,83282.8,83785.9,71785.3,,,74279.7,68978.4,
116FRMN,75971.8,64920.4,73163.2,75200.7,72981.4,82088.0,79065.7,66160.7,69060.9,66253.7,69736.3,,
1057051,,,,78857.4,79959.3,86748.4,87218.9,,82023.0,81026.6,76225.5,71926.3,72944.8
1057052,,69510.5,67944.4,78153.8,80917.3,88362.6,88556.6,74368.8,81000.1,81537.5,77014.0,,
1037090,70959.6,,70395.4,77436.3,84404.2,89109.8,84504.1,75888.4,79733.3,80783.0,,71920.6,
1077498,,,,,,,,,,,,,
1077501,,,,,39629.6,47010.2,47897.8,33162.1,39897.2,36759.5,37030.1,37360.6,46601.0
1077499,47093.5,32166.5,35567.0,40853.7,36893.9,46800.9,47829.6,33876.6,40280.2,37038.6,37449.6,,
1037553,77177.7,,,78523.2,86228.1,90012.5,85640.5,78621.7,82325.6,84515.8,,71985.6,
1157632,,,,,,,,,,,,,
1157631,35379.5,33303.3,39587.2,39812.6,36456.4,49803.3,47358.8,35947.5,37451.7,31834.8,43351.4,,
10476F0,81928.1,70676.2,78007.1,81006.0,87620.5,92149.7,87386.2,80113.9,85655.5,82859.1,82120.0,,
1067748,,,,,,58721.5,61211.9,45579.8,52854.5,54845.2,48503.6,47941.1,55460.8
1088015,38262.2,32071.0,36871.3,45267.0,39445.2,45979.6,43862.9,34394.6,37897.7,35392.2,41827.3,,
1068134,,,,66007.8,58875.7,63735.0,64953.2,51230.2,61134.0,62182.9,56742.3,52655.8,61260.9
1038204,,,,,,,,,,,,,
1108446,94757.6,,91878.8,95504.2,100462.4,106219.4,102718.3,94793.1,100007.6,98213.1,98156.0,,
1108395,,,,,96518.1,100787.0,98382.3,89764.6,95062.3,92222.6,93746.9,93000.4,88536.5
1108380,,,,,96434.1,100999.2,98350.0,89512.2,93418.7,92700.3,93812.6,91606.2,88944.4
1128582,75248.5,66086.6,73336.0,71762.8,72085.3,82377.3,79819.1,67616.0,72667.9,67861.9,72077.8,,
1018611,86772.6,79288.4,82849.2,83866.9,91704.4,96089.3,95452.1,86711.2,91379.7,88711.7,89744.4,,
1018633,,,,,,,96138.2,87061.4,91363.6,89211.0,90556.9,88396.0,82928.5
1018621,,,,,93682.8,98415.9,97705.8,88227.7,93294.2,89501.1,91221.8,90642.9,84867.0
1018598,94252.3,82812.9,86519.0,87749.1,95732.3,99186.4,97731.5,89219.9,94085.2,91141.1,91924.7,,
1148705,73642.4,,72844.5,73553.5,71504.6,86121.6,81368.4,72965.2,75642.4,70140.0,71312.8,,
1108824,90981.6,79597.1,85531.4,87875.2,95119.8,100853.7,96856.1,89350.6,94305.5,90681.3,89449.2,,
1100875,58077.4,45751.5,55027.0,59145.4,62046.8,69353.6,61215.0,53662.4,61467.6,57011.8,57098.8,,
1048899,,,,,,,,,,,,,
1108910,97344.5,88951.2,92436.2,93914.3,97651.4,101464.4,100609.7,90521.7,92337.5,93667.1,,,
1098941,,,,45995.9,39530.0,52315.6,49475.8,38843.8,43386.6,36803.1,41571.7,43328.7,50204.0
