CLIMATE_IDENTIFIER,1,2,3,4,5,6,7,8,9,10,11,12
1086082,-16751.8,-3537.6,28097.6,64847.0,102670.7,116788.3,154745.3,151233.6,107538.3,59938.7,12088.3,-15265.8
1126146,-2070.4,-451.8,36773.7,65835.9,111027.9,132717.7,168146.7,160878.4,114256.5,69236.8,23995.6,-4817.6
1106178,28761.0,29442.3,53981.1,75077.9,112714.6,125822.7,153906.0,155105.7,122443.5,84170.8,45441.8,23214.9
1036B06,18302.4,17894.5,38697.3,62505.6,103801.4,118486.8,148318.5,150267.0,115073.9,76206.8,36208.5,14890.1
1026271,29592.2,21499.0,35320.0,47597.6,69307.1,81487.5,97249.3,98023.5,79604.5,60580.2,35874.9,20575.5
1046395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1046392,26870.7,21788.5,40740.4,58536.5,92698.0,106205.1,129294.6,129928.8,100945.0,69437.9,38162.1,24182.6
1096453,-49950.3,-48445.6,-9763.6,34896.7,87681.3,106132.6,128472.3,121977.5,77084.4,33664.3,-17933.3,-47472.8
1096454,-34424.5,-36050.3,3052.4,40480.4,91929.7,111890.8,133671.8,128051.1,80681.8,41085.4,-6175.4,-37371.6
1096439,-50151.4,-48168.8,-9583.8,34444.5,87774.3,106209.1,129236.3,121389.2,78650.3,33455.8,-17593.6,-47464.3
1066482,25051.3,18148.7,31643.7,47430.4,72570.3,84574.7,100450.6,101954.9,84923.3,60248.5,36918.7,24626.8
1126511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112FN0M,-40963.2,-30797.6,12748.2,48854.9,93881.3,118898.6,152406.6,148046.6,101864.7,46138.3,-7104.8,-43732.8
1086558,-82187.3,-65032.1,-20238.9,27323.8,78853.4,99972.5,126033.6,121893.8,76715.5,24795.6,-35199.8,-83279.0
1096631,-45405.0,-40041.2,1829.1,45229.2,95476.2,115214.6,137753.1,131765.4,86509.3,42011.2,-8200.6,-40655.3
1096629,-44285.0,-41413.1,2787.4,44594.1,95326.4,115504.7,136980.3,130634.0,87852.0,36091.4,-3926.4,-36567.5
1176745,-21068.8,-20973.7,12092.4,49578.6,104515.1,121676.4,150785.1,146053.1,102592.1,51424.5,11161.5,-18904.7
1176755,-21067.1,-20838.5,12300.4,51044.4,102695.8,124914.8,155785.1,146961.4,102242.1,53304.8,10140.8,-19444.0
1056869,29887.1,24719.9,30717.8,44675.5,62569.9,75587.1,88128.1,92313.9,77152.8,62751.7,38890.8,27934.1
116FRMN,-15806.3,-15556.9,23948.3,64853.8,112955.7,132735.3,162841.0,157015.5,109787.6,59929.5,14793.9,-12894.6
1057051,33755.5,25986.6,34008.5,44918.7,67530.4,81286.2,100913.8,106214.3,86845.2,65905.1,42525.3,27040.6
1057052,35562.1,27459.5,34708.8,48998.4,73579.0,88764.0,109649.4,115618.0,96133.1,73454.7,47467.7,35970.9
1037090,48021.1,36401.5,42981.0,52030.2,65609.2,78216.1,95269.1,101234.2,90004.6,76605.3,57062.6,41699.8
1077498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1077501,-34793.0,-39074.1,-2015.3,30217.9,71936.3,87848.4,107100.5,102913.7,64624.1,28442.5,-10322.0,-41530.9
1077499,-40616.4,-39711.7,-4818.3,36407.1,87650.9,100582.4,124511.4,121891.1,79722.7,32289.8,-14238.7,-47820.2
1037553,45887.2,34460.7,43521.7,50383.3,64067.6,73762.3,85769.7,90706.8,84077.8,71910.8,50586.8,39896.0
1157632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1157631,-47150.5,-42450.6,-2249.2,32023.2,75006.5,102884.2,132331.9,130800.4,83054.6,35107.3,-17019.4,-52051.9
10476F0,11768.7,19323.0,42732.1,68066.8,108481.3,122522.1,150872.2,150670.3,115549.2,75402.9,34323.3,9810.4
1067748,-11312.8,-11432.4,8341.3,32873.2,67029.7,78127.8,88216.0,83493.3,62205.7,34736.9,7659.7,-14820.0
1088015,-40522.9,-30888.2,-466.8,32655.5,75142.6,93747.8,120261.6,119166.3,78810.9,36630.1,-10291.8,-42974.1
1068134,-10813.8,-11797.6,15046.8,43143.7,86724.1,101496.7,125261.8,123411.5,88094.5,47977.5,8635.3,-18402.7
1038204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1108446,39925.1,36318.1,54135.3,72458.9,103161.6,113862.4,139813.1,139957.9,110155.5,81993.5,53012.6,37916.5
1108395,31076.8,25119.5,46077.5,62647.8,91242.0,105184.6,125021.7,125122.3,98990.8,72222.9,42255.0,23059.8
1108380,29205.8,25569.9,46021.4,62758.4,90231.0,102792.5,124767.9,126067.9,99599.4,72635.6,42758.8,23369.1
1128582,-22440.6,-15723.7,29068.2,66276.6,114365.3,132065.4,167260.2,163163.6,115502.3,60621.2,10569.2,-19788.5
1018611,44867.1,39782.2,58494.8,73407.0,97927.3,108198.9,124038.5,128252.6,111314.6,85887.0,57040.5,43359.4
1018633,30795.2,24275.5,37600.2,48936.9,63170.9,70892.0,79911.4,81733.0,70416.6,55019.6,39348.2,23556.1
1018621,32639.7,26928.5,45585.9,61129.4,88199.2,102202.1,118345.3,117890.5,94843.5,70907.9,43095.2,25792.0
1018598,45025.4,38998.4,56996.9,73400.9,102663.8,117270.8,139471.7,140117.3,113683.5,84529.6,55647.0,42549.1
1148705,-12079.3,-5782.8,26380.3,60327.4,100649.4,117691.3,151804.6,152088.1,104220.2,55204.7,12783.2,-14191.7
1108824,36320.3,30993.7,52194.1,70536.6,106938.3,119930.3,147229.7,151614.7,121003.0,83853.5,49186.2,30801.1
1100875,-15948.7,-8895.6,13987.5,41674.7,89460.4,104542.6,138553.1,138987.4,97016.6,51010.8,7529.7,-18061.2
1048899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1108910,37661.7,35227.3,56972.3,71800.2,99450.6,112701.1,128077.4,133553.7,108793.0,80851.2,50582.6,33226.9
1098941,-38497.6,-40148.0,-1137.0,32727.2,80235.4,99967.6,125923.7,123065.3,79421.9,35967.9,-12671.3,-43399.9
