STATION_NAME,x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA,HLY_REC_LENGTH
OSOYOOS CS,-119.4409917,49.02829167,1041,OSOYOOS CS,BC,BRITISH COLUMBIA,CAN,490141850,-1192627570,PST,282.9,1125852,WYY,71215.0,Climate-Auto,F,1.0,7.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1990-01-01 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1990-08-01 00:00:00,2022-06-07 00:00:00,1990-01-01 00:00:00,2006-11-01 00:00:00,Y,N,Y,10353 days 12:30:00
TERRACE A,-128.5783333,54.46861111,51037,TERRACE A,BC,BRITISH COLUMBIA,CAN,542807000,-1283442000,PST,217.3,1068134,YXT,71951.0,Aviation-Staffed,,,,NAVCAN,NAV Canada,2013-01-15 09:00:00,2022-06-07 12:30:00,2013-01-15 09:00:00,2022-06-07 12:30:00,2013-01-17 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,3430 days 03:30:00
KAMLOOPS A,-120.4486111,50.7025,51423,KAMLOOPS A,BC,BRITISH COLUMBIA,CAN,504209000,-1202655000,PST,345.3,1163781,YKA,71887.0,Aviation-Staffed,,,,NAVCAN,NAV Canada,2013-06-11 06:00:00,2022-06-07 12:30:00,2013-06-11 06:00:00,2022-06-07 12:30:00,2013-06-13 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,3283 days 06:30:00
MASSET A,-132.125,54.02722222,52940,MASSET A,BC,BRITISH COLUMBIA,CAN,540138000,-1320730000,PST,5.8,1054929,ZMT,,Aviation-Auto,,,,NAVCAN,NAV Canada,2014-10-23 11:00:00,2022-06-07 12:30:00,2014-10-23 11:00:00,2022-06-07 12:30:00,2018-10-29 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2784 days 01:30:00
SPARWOOD A,-114.8833333,49.83333333,52959,SPARWOOD A,BC,BRITISH COLUMBIA,CAN,495000000,-1145300000,PST,1158.2,1157635,WSW,,Aviation-Auto,,,,NAVCAN,NAV Canada,2014-10-23 11:00:00,2022-06-07 12:30:00,2014-10-23 11:00:00,2022-06-07 12:30:00,2018-10-29 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2784 days 01:30:00
BLUE RIVER A,-119.2927778,52.12472222,53423,BLUE RIVER A,BC,BRITISH COLUMBIA,CAN,520729000,-1191734000,PST,690.4,1160898,YCP,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2015-01-15 11:00:00,2022-06-07 12:30:00,2015-01-15 11:00:00,2022-06-07 12:30:00,,,,,N,N,Y,2700 days 01:30:00
BLUE RIVER A,-119.2927778,52.12472222,53424,BLUE RIVER A,BC,BRITISH COLUMBIA,CAN,520729000,-1191734000,PST,690.4,1160902,YCP,,Aviation-Auto,,,,NAVCAN,NAV Canada,2015-01-15 11:00:00,2022-06-07 12:30:00,2015-01-15 11:00:00,2022-06-07 12:30:00,2018-10-29 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2700 days 01:30:00
VICTORIA HARBOUR A,-123.3875,48.42277778,53478,VICTORIA HARBOUR A,BC,BRITISH COLUMBIA,CAN,482522000,-1232315000,PST,0.0,1018619,YWH,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2015-02-12 11:00:00,2022-06-07 12:30:00,2015-02-12 11:00:00,2022-06-07 12:30:00,,,,,N,N,Y,2672 days 01:30:00
VICTORIA HARBOUR A,-123.3875,48.42277778,53479,VICTORIA HARBOUR A,BC,BRITISH COLUMBIA,CAN,482522000,-1232315000,PST,0.0,1018633,YWH,,Aviation-Auto,,,,NAVCAN,NAV Canada,2015-02-12 11:00:00,2022-06-07 12:30:00,2015-02-12 11:00:00,2022-06-07 12:30:00,2018-10-29 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2672 days 01:30:00
SPARWOOD A,-114.8827778,49.74527778,52278,SPARWOOD A,BC,BRITISH COLUMBIA,CAN,494443000,-1145258000,MST,1137.7,1157632,WSW,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2014-09-30 07:00:00,2022-06-07 12:30:00,2014-09-30 07:00:00,2022-06-07 12:30:00,,,,,N,N,Y,2807 days 05:30:00
LANGARA ISLAND RCS,-133.0584881,54.25538806,6819,LANGARA ISLAND RCS,BC,BRITISH COLUMBIA,CAN,541519397,-1330330557,PST,46.9,1054503,WJU,71903.0,Climate-Auto,F,1.0,7.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1992-01-01 00:00:00,2022-06-07 12:30:00,1994-02-01 00:58:00,2022-06-07 12:30:00,1992-11-01 00:00:00,2022-06-07 00:00:00,1992-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,10353 days 11:32:00
HOLLAND ROCK,-130.36085,54.17223389,6823,HOLLAND ROCK,BC,BRITISH COLUMBIA,CAN,541020042,-1302139060,PST,5.5,1063496,WHL,71219.0,Climate-Auto,G,1.0,8.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1991-01-01 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1991-01-01 00:00:00,2022-06-07 00:00:00,1991-01-01 00:00:00,1997-03-01 00:00:00,Y,N,Y,10353 days 12:30:00
PUNTZI MOUNTAIN (AUT),-124.1355556,52.11444444,8092,PUNTZI MOUNTAIN (AUT),BC,BRITISH COLUMBIA,CAN,520652000,-1240808000,PST,909.8,1086558,WPU,71050.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1993-03-25 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1993-03-25 00:00:00,2022-06-07 00:00:00,2005-06-01 00:00:00,2006-09-01 00:00:00,Y,N,Y,10353 days 12:30:00
BELLA COOLA A,-126.5958333,52.3875,51419,BELLA COOLA A,BC,BRITISH COLUMBIA,CAN,522315000,-1263545000,PST,35.7,1060845,YBD,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2013-08-15 11:00:00,2022-06-07 12:30:00,2013-08-15 11:00:00,2022-06-07 12:30:00,,,,,N,N,Y,3218 days 01:30:00
MACKENZIE AIRPORT AUTO,-123.1378022,55.30528917,51517,MACKENZIE AIRPORT AUTO,BC,BRITISH COLUMBIA,CAN,551819041,-1230816088,PST,694.0,1184793,VZY,71944.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2013-05-15 00:00:00,2022-06-07 12:30:00,2013-05-15 11:00:00,2022-06-07 12:30:00,2013-05-15 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,3310 days 01:30:00
LYTTON A,-121.5819444,50.22444444,51598,LYTTON A,BC,BRITISH COLUMBIA,CAN,501328000,-1213455000,PST,224.9,1114738,WLY,71812.0,Aviation-Auto,,,,NAVCAN,NAV Canada,2013-08-20 09:00:00,2022-06-07 12:30:00,2013-08-20 09:00:00,2022-06-07 12:30:00,2013-08-22 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,3213 days 03:30:00
WHISTLER A,-122.9547222,50.12888889,52178,WHISTLER A,BC,BRITISH COLUMBIA,CAN,500744000,-1225717000,PST,657.8,1048899,WAE,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2014-04-29 06:00:00,2022-06-07 12:30:00,2014-04-29 06:00:00,2022-06-07 12:30:00,,,,,N,N,Y,2961 days 06:30:00
NANAIMO A,-123.87,49.05444444,52941,NANAIMO A,BC,BRITISH COLUMBIA,CAN,490316000,-1235212000,PST,28.0,1025365,YCD,,Aviation-Auto,,,,NAVCAN,NAV Canada,2014-10-23 11:00:00,2022-06-07 12:30:00,2014-10-23 11:00:00,2022-06-07 12:30:00,2018-10-29 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2784 days 01:30:00
PRINCETON CS,-120.51,49.465,6834,PRINCETON CS,BC,BRITISH COLUMBIA,CAN,492754000,-1203036000,PST,696.5,112FN0M,WPR,71032.0,Climate-Auto,F,1.0,7.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1992-11-01 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1992-11-01 00:00:00,2022-06-07 00:00:00,1993-04-01 00:00:00,2006-10-01 00:00:00,Y,N,Y,10353 days 12:30:00
CAMPBELL RIVER A,-125.2730556,49.95194444,51317,CAMPBELL RIVER A,BC,BRITISH COLUMBIA,CAN,495707000,-1251623000,PST,108.8,1021267,YBL,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2013-06-11 06:00:00,2022-06-07 12:30:00,2013-06-11 06:00:00,2022-06-07 12:30:00,,,,,N,N,Y,3283 days 06:30:00
PRINCETON A,-120.5125,49.46777778,51439,PRINCETON A,BC,BRITISH COLUMBIA,CAN,492804000,-1203045000,PST,701.6,1126511,YDC,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2013-08-15 11:00:00,2022-06-07 12:30:00,2013-08-15 11:00:00,2022-06-07 12:30:00,,,,,N,N,Y,3218 days 01:30:00
CASTLEGAR A,-117.6325,49.29611111,51458,CASTLEGAR A,BC,BRITISH COLUMBIA,CAN,491746000,-1173757000,PST,495.6,1141456,YCG,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2013-05-16 11:00:00,2022-06-07 12:30:00,2013-05-16 11:00:00,2022-06-07 12:30:00,,,,,N,N,Y,3309 days 01:30:00
MASSET A,-132.125,54.02722222,52339,MASSET A,BC,BRITISH COLUMBIA,CAN,540138000,-1320730000,PST,5.8,1054921,ZMT,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2014-08-05 06:00:00,2022-06-07 12:30:00,2014-08-05 06:00:00,2022-06-07 12:30:00,,,,,N,N,Y,2863 days 06:30:00
CAMPBELL RIVER A,-125.2730556,49.95194444,52979,CAMPBELL RIVER A,BC,BRITISH COLUMBIA,CAN,495707000,-1251623000,PST,108.8,1021270,YBL,,Aviation-Auto,,,,NAVCAN,NAV Canada,2014-10-23 11:00:00,2022-06-07 12:30:00,2014-10-23 11:00:00,2022-06-07 12:30:00,2018-10-29 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2784 days 01:30:00
BURNS LAKE DECKER LAKE,-125.9586667,54.38316667,574,BURNS LAKE DECKER LAKE,BC,BRITISH COLUMBIA,CAN,542259400,-1255731200,PST,713.2,1091174,WPZ,71952.0,Climate-Auto,G,1.0,8.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1990-01-01 00:00:00,2022-06-07 12:30:00,1990-12-01 04:00:00,2022-06-07 12:30:00,1990-12-01 00:00:00,2022-06-07 00:00:00,1990-01-01 00:00:00,2006-11-01 00:00:00,Y,N,Y,11511 days 08:30:00
GOLDEN A,-116.9822222,51.29916667,52980,GOLDEN A,BC,BRITISH COLUMBIA,CAN,511757000,-1165856000,MST,784.9,1173214,YGE,,Aviation-Auto,,,,NAVCAN,NAV Canada,2014-10-23 12:00:00,2022-06-07 12:30:00,2014-10-23 12:00:00,2022-06-07 12:30:00,2018-10-29 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2784 days 00:30:00
SALMON ARM CS,-119.2906778,50.703,6843,SALMON ARM CS,BC,BRITISH COLUMBIA,CAN,504210800,-1191726440,PST,350.5,116FRMN,WSL,71218.0,Climate-Auto,F,1.0,7.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1991-01-01 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1991-01-01 00:00:00,2022-06-07 00:00:00,1991-02-01 00:00:00,2006-10-01 00:00:00,Y,N,Y,10353 days 12:30:00
ROSE SPIT (AUT),-131.6613258,54.15914,8064,ROSE SPIT (AUT),BC,BRITISH COLUMBIA,CAN,540932904,-1313940773,PST,6.6,1056869,WRO,71477.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1994-05-11 10:16:00,2022-06-07 12:30:00,1994-05-11 10:16:00,2022-06-07 12:30:00,1994-12-30 00:00:00,2022-06-07 00:00:00,2004-03-01 00:00:00,2005-12-01 00:00:00,Y,N,Y,10254 days 02:14:00
HERBERT ISLAND (AUT),-127.63205,50.93976111,8259,HERBERT ISLAND (AUT),BC,BRITISH COLUMBIA,CAN,505623140,-1273755380,PST,13.5,1063461,WLP,71485.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1994-02-01 00:25:00,2022-06-07 12:30:00,1994-02-01 00:25:00,2022-06-07 12:30:00,1994-12-30 00:00:00,2022-06-07 00:00:00,2005-06-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,10353 days 12:05:00
TATLAYOKO LAKE RCS,-124.4031389,51.67455556,30494,TATLAYOKO LAKE RCS,BC,BRITISH COLUMBIA,CAN,514028400,-1242411300,PST,875.0,1088015,XTL,71028.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2000-08-10 00:00:00,2022-06-07 12:30:00,2000-08-10 06:00:00,2022-06-07 12:30:00,2000-08-10 00:00:00,2022-06-07 00:00:00,2004-04-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,7971 days 06:30:00
VERNON AUTO,-119.1935278,50.22330556,46987,VERNON AUTO,BC,BRITISH COLUMBIA,CAN,501323900,-1191136700,PST,482.0,1128582,WJV,71115.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2005-01-01 00:00:00,2022-06-07 12:30:00,2007-11-30 23:00:00,2022-06-07 12:30:00,2005-01-01 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,5302 days 13:30:00
PRINCE GEORGE AIRPORT AUTO,-122.671945,53.88888889,48248,PRINCE GEORGE AIRPORT AUTO,BC,BRITISH COLUMBIA,CAN,535320000,-1224019002,PST,680.0,1096453,VXS,71302.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2009-11-27 00:00:00,2022-06-07 12:30:00,2009-11-27 08:00:00,2022-06-07 12:30:00,2009-11-27 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,4575 days 04:30:00
REVELSTOKE A,-118.1833333,50.96666667,49492,REVELSTOKE A,BC,BRITISH COLUMBIA,CAN,505800000,-1181100000,PST,444.7,1176745,YRV,71685.0,Aviation-Auto,,,,NAVCAN,NAV Canada,2011-10-17 07:00:00,2022-06-07 12:30:00,2011-10-17 07:00:00,2022-06-07 12:30:00,2011-10-20 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,3886 days 05:30:00
ABBOTSFORD A,-122.36,49.02527778,50308,ABBOTSFORD A,BC,BRITISH COLUMBIA,CAN,490131000,-1222136000,PST,59.1,1100031,YXX,71108.0,Aviation-Staffed,,,,NAVCAN,NAV Canada,2011-10-07 17:00:00,2022-06-07 12:30:00,2011-10-07 17:00:00,2022-06-07 12:30:00,2012-06-21 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,3895 days 19:30:00
POWELL RIVER A,-124.5002778,49.83416667,51438,POWELL RIVER A,BC,BRITISH COLUMBIA,CAN,495003000,-1243001000,PST,129.5,1046395,YPW,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2013-12-09 07:00:00,2022-06-07 12:30:00,2013-12-09 07:00:00,2022-06-07 12:30:00,,,,,N,N,Y,3102 days 05:30:00
ABBOTSFORD A,-122.36,49.02527778,54238,ABBOTSFORD A,BC,BRITISH COLUMBIA,CAN,490131000,-1222136000,PST,59.1,1100032,YXX,,Aviation-Auto,,,,NAVCAN,NAV Canada,2016-01-13 06:00:00,2022-06-07 12:30:00,2016-01-13 06:00:00,2022-06-07 12:30:00,2018-10-29 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2337 days 06:30:00
GOLDEN AIRPORT,-116.9843333,51.30022222,54318,GOLDEN AIRPORT,BC,BRITISH COLUMBIA,CAN,511800800,-1165903600,PST,785.0,1173220,VGE,71905.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2015-11-26 00:00:00,2022-06-07 12:30:00,2015-11-26 13:00:00,2022-06-07 12:30:00,2015-11-26 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2384 days 23:30:00
PEMBERTON AIRPORT CS,-122.7340889,50.30564611,536,PEMBERTON AIRPORT CS,BC,BRITISH COLUMBIA,CAN,501820326,-1224402720,PST,204.3,1086082,WGP,71777.0,Climate-Auto,F,1.0,7.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1984-01-01 00:00:00,2022-06-07 12:30:00,1988-06-01 07:00:00,2022-06-07 12:30:00,1984-04-01 00:00:00,2022-06-07 00:00:00,1984-01-01 00:00:00,2006-12-01 00:00:00,Y,N,Y,12424 days 05:30:00
CRANBROOK AIRPORT AUTO,-115.7890489,49.61761889,51818,CRANBROOK AIRPORT AUTO,BC,BRITISH COLUMBIA,CAN,493703428,-1154720576,MST,926.7,1152106,VXC,71660.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2013-11-13 00:00:00,2022-06-07 12:30:00,2013-11-13 16:00:00,2022-06-07 12:30:00,2013-11-13 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,3127 days 20:30:00
VICTORIA UNIVERSITY CS,-123.3046111,48.457,6812,VICTORIA UNIVERSITY CS,BC,BRITISH COLUMBIA,CAN,482725200,-1231816600,PST,60.1,1018598,WYJ,71783.0,Climate-Auto,F,1.0,7.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1992-01-01 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1992-12-01 00:00:00,2022-06-07 00:00:00,1992-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,10353 days 12:30:00
HOWE SOUND - PAM ROCKS,-123.2994528,49.48778028,6817,HOWE SOUND - PAM ROCKS,BC,BRITISH COLUMBIA,CAN,492916009,-1231758030,PST,7.1,10459NN,WAS,71211.0,Climate-Auto,F,1.0,7.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1991-01-01 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1991-07-01 00:00:00,2022-06-07 00:00:00,1991-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,10353 days 12:30:00
WEST VANCOUVER AUT,-123.1933083,49.34704167,6833,WEST VANCOUVER AUT,BC,BRITISH COLUMBIA,CAN,492049350,-1231135910,PST,170.2,1108824,WWA,71784.0,Climate-Auto,F,1.0,7.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1992-01-01 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1992-12-01 00:00:00,2022-06-07 00:00:00,1992-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,10353 days 12:30:00
KINDAKUN ROCKS (AUT),-132.7719997,53.31558,8062,KINDAKUN ROCKS (AUT),BC,BRITISH COLUMBIA,CAN,531856088,-1324619199,PST,14.7,1054222,WQS,71472.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1994-02-01 00:28:00,2022-06-07 12:30:00,1994-02-01 00:28:00,2022-06-07 12:30:00,1994-12-30 00:00:00,2022-06-07 00:00:00,2005-08-01 00:00:00,2005-10-01 00:00:00,Y,N,Y,10353 days 12:02:00
SARTINE ISLAND (AUT),-128.9080556,50.82111111,8261,SARTINE ISLAND (AUT),BC,BRITISH COLUMBIA,CAN,504916000,-1285429000,PST,103.5,1037090,WFG,71478.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1994-02-01 00:21:00,2022-06-07 12:30:00,1994-02-01 00:21:00,2022-06-07 12:30:00,1994-12-30 00:00:00,2022-06-07 00:00:00,2005-02-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,10353 days 12:09:00
BONILLA ISLAND (AUT),-130.639,53.49284972,8265,BONILLA ISLAND (AUT),BC,BRITISH COLUMBIA,CAN,532934259,-1303820400,PST,12.5,1060R0K,WWL,71484.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1994-02-01 00:24:00,2022-06-07 12:30:00,1994-02-01 00:24:00,2022-06-07 12:30:00,1994-12-30 00:00:00,2022-06-07 00:00:00,2002-10-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,10353 days 12:06:00
WARFIELD RCS,-117.7388889,49.11194444,31067,WARFIELD RCS,BC,BRITISH COLUMBIA,CAN,490643000,-1174420000,PST,566.9,1148705,XWF,71401.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2001-06-26 10:00:00,2022-06-07 12:30:00,2001-06-26 10:00:00,2022-06-07 12:30:00,2001-11-26 00:00:00,2022-06-07 00:00:00,2002-07-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,7651 days 02:30:00
WHITE ROCK CAMPBELL SCIENTIFIC,-122.7838889,49.01805556,925,WHITE ROCK CAMPBELL SCIENTIFIC,BC,BRITISH COLUMBIA,CAN,490105000,-1224702000,PST,13.0,1108910,WWK,71785.0,Climate-Auto,F,1.0,7.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1929-01-01 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1929-01-01 00:00:00,2022-06-07 00:00:00,1929-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,10353 days 12:30:00
NORTH COWICHAN,-123.7188914,48.82416944,46728,NORTH COWICHAN,BC,BRITISH COLUMBIA,CAN,484927010,-1234308009,PST,44.8,1015630,VOO,71927.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2007-11-27 00:00:00,2022-06-07 12:30:00,2007-11-27 08:00:00,2022-06-07 12:30:00,2007-11-27 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,5306 days 04:30:00
QUESNEL,-122.5102778,53.02611111,48688,QUESNEL,BC,BRITISH COLUMBIA,CAN,530134000,-1223037000,PST,545.0,1096629,YQZ,71192.0,Aviation-Auto,,,,NAVCAN,NAV Canada,2010-06-03 00:00:00,2022-06-07 12:30:00,2010-06-03 11:00:00,2022-06-07 12:30:00,2010-06-03 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,4387 days 01:30:00
DEASE LAKE A,-130.0313889,58.42222222,49628,DEASE LAKE A,BC,BRITISH COLUMBIA,CAN,582520000,-1300153000,PST,802.8,1192341,YDL,71686.0,Aviation-Auto,,,,NAVCAN,NAV Canada,2011-12-12 08:00:00,2022-06-07 12:30:00,2011-12-12 08:00:00,2022-06-07 12:30:00,2011-12-15 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,3830 days 04:30:00
HOPE AIRPORT,-121.4934722,49.36983333,50517,HOPE AIRPORT,BC,BRITISH COLUMBIA,CAN,492211400,-1212936500,PST,39.0,1113543,VPE,71114.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2012-08-01 00:00:00,2022-06-07 12:30:00,2012-08-02 05:00:00,2022-06-07 12:30:00,2012-08-01 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,3596 days 07:30:00
NANAIMO A,-123.87,49.05444444,51318,NANAIMO A,BC,BRITISH COLUMBIA,CAN,490316000,-1235212000,PST,28.0,1025369,YCD,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2013-05-16 11:00:00,2022-06-07 12:30:00,2013-05-16 11:00:00,2022-06-07 12:30:00,2016-06-02 00:00:00,2022-04-30 00:00:00,,,Y,N,Y,3309 days 01:30:00
TOFINO A,-125.7725,49.08222222,52198,TOFINO A,BC,BRITISH COLUMBIA,CAN,490456000,-1254621000,PST,24.4,1038204,YAZ,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2014-04-29 06:00:00,2022-06-07 12:30:00,2014-04-29 06:00:00,2022-06-07 12:30:00,,,,,N,N,Y,2961 days 06:30:00
STEWART A,-129.9833333,55.93333333,53422,STEWART A,BC,BRITISH COLUMBIA,CAN,555600000,-1295900000,PST,7.3,1067741,ZST,,Aviation-Staffed,,,,NAVCAN,NAV Canada,2015-01-15 11:00:00,2022-06-07 12:30:00,2015-01-15 11:00:00,2022-06-07 12:30:00,,,,,N,N,Y,2700 days 01:30:00
STEWART A,-129.9833333,55.93333333,53438,STEWART A,BC,BRITISH COLUMBIA,CAN,555600000,-1295900000,PST,7.3,1067748,ZST,,Aviation-Auto,,,,NAVCAN,NAV Canada,2015-01-15 11:00:00,2022-06-07 12:30:00,2015-01-15 11:00:00,2022-06-07 12:30:00,2018-10-29 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2700 days 01:30:00
CLINTON RCS,-121.50478,51.144465,53638,CLINTON RCS,BC,BRITISH COLUMBIA,CAN,510840074,-1213017208,PST,1059.0,1161663,NCN,71474.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2015-03-23 10:00:00,2022-06-07 12:30:00,2015-03-23 10:00:00,2022-06-07 12:30:00,2015-03-27 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2633 days 02:30:00
BELLA COOLA AIRPORT,-126.5869444,52.38861111,54338,BELLA COOLA AIRPORT,BC,BRITISH COLUMBIA,CAN,522319000,-1263513000,PST,36.9,1060844,VBD,71533.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2015-11-26 12:00:00,2022-06-07 12:30:00,2015-11-26 12:00:00,2022-06-07 12:30:00,2015-12-09 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,2385 days 00:30:00
NAKUSP CS,-117.8170944,50.269425,6840,NAKUSP CS,BC,BRITISH COLUMBIA,CAN,501609930,-1174901540,PST,512.1,1145297,WNP,71216.0,Climate-Auto,F,1.0,7.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1991-01-01 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1991-01-01 00:00:00,2022-06-07 00:00:00,1991-02-01 00:00:00,2006-11-01 00:00:00,Y,N,Y,10353 days 12:30:00
BLUE RIVER CS,-119.2899167,52.129,8214,BLUE RIVER CS,BC,BRITISH COLUMBIA,CAN,520744400,-1191723700,PST,682.8,1160H99,WSV,71883.0,Climate-Auto,G,1.0,8.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1992-12-02 00:00:00,2022-06-07 12:30:00,1993-10-31 16:00:00,2022-06-07 12:30:00,1992-12-02 00:00:00,2022-06-07 00:00:00,1997-05-01 00:00:00,2006-10-01 00:00:00,Y,N,Y,10445 days 20:30:00
