CLIMATE_IDENTIFIER,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
1100032,,,,,,,11.608497669415561,10.207792058756024,10.854129069103369,10.413003767553374,10.36739229541828,10.561022947825094,11.346274160732452
1060845,,,,,,,,,,,,,
1060844,,,,,,,8.776012781011069,7.6096755637367695,8.609078228524933,8.403305026394307,8.218628793064111,8.166601852910901,9.080183392766175
1160902,,,,,,5.960427360630297,5.259047619047619,3.81962984384037,4.379449669104841,3.8396950939935808,4.125989731888192,4.578413793103448,5.388833269156719
1160H99,5.053969160479726,3.6506084205402773,4.4389991966027775,4.953757159221077,4.129965357967667,5.533065534259153,5.377239320165365,3.8461415342403105,4.225025936599423,3.7675749942752463,4.0386687978079685,,
1060R0K,8.443746404326316,8.081090651558073,,8.886012183692596,9.056541840036985,9.698420074349443,,,,9.167916374678812,8.832139883430475,,
1091174,2.8367619047619046,1.3307401466544455,2.0603893846332135,3.2250200022859756,2.4676283900750144,3.305778567199526,3.586225769669327,1.9087324265630359,2.28228166438043,2.3892529789184236,2.3629824762341083,,
1021270,,,,,,10.122846269173106,9.676819683335232,8.646459570580173,9.357829120439208,9.07087100835527,9.153367935409458,9.153755707762556,9.691715449223722
1051351,,,7.944413610038611,8.838350515463917,9.384672704344835,10.013823701109164,9.678992078980599,8.516315423807317,9.180993170505847,,,,
1141456,,,,,,,,,,,,,
1061458,8.813110749185668,7.5551736151434215,8.283785063321103,9.230707841776544,9.305121139051556,9.864155067295526,9.62212907671107,8.423134673134673,9.16234096692112,9.3264284061994,8.865840542436286,,
1161662,,,,,3.403946465339739,4.884216809933142,4.294700300856284,3.134567055060544,3.4866986630099417,2.832773589216358,3.4073972289018664,3.6448047499429093,4.733303411131059
1161663,,,,,,,5.167552399496048,4.073391244713681,3.8990780055804923,3.66738757294885,4.38565396028304,4.479302857142858,5.83902003317596
1021830,10.228778538812787,9.433527397260274,9.763083580050102,10.272819634703195,10.716940639269406,11.260331050228311,10.936783965379796,9.979257465698144,10.902821567283528,10.572533120146186,10.618321566841267,,
1152105,,,,6.118626216370921,6.048478609013956,7.465408877164813,6.954399361750627,6.024745335927664,6.285537757437071,5.551031636863824,6.754441783555707,7.036598173515982,7.588577613650834
