CLIMATE_IDENTIFIER,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1068134,,,,81.727446300716,77.06601075391832,78.46626824502931,78.16725653613426,77.36380255941499,76.04249971438364,77.31513420902341,81.33242196400091,81.06819739547636,78.1713563799242,79.66401124648547
1038205,,,,,,,,,,,,,,
1108446,75.90745531514581,,74.95769628692953,75.71377889677272,75.9369400413508,79.12722908093278,81.77346868940344,79.40031989032332,80.28001372055797,78.4982864976011,80.6549092170695,,,
1108447,76.79079593468083,79.06508335236356,75.38187407491745,,,,,,,,,,,
1108395,,,,,81.02137631458619,81.38305898491083,81.05204418631135,79.78522493720027,81.6870717222476,78.83344748858447,80.62043047488896,79.73564005938107,84.81094413215556,85.22997658079625
1108380,,,,,80.55423068103646,79.60517577006756,77.5264477884177,,82.23920842495082,80.91853290676417,81.37549948624272,79.08231671206917,81.382096069869,81.0378904249872
1128582,74.11069853794383,70.08655204898729,70.53318129988598,73.66877588587207,71.72518188218729,70.7970348235835,73.4048,70.79627513711152,71.98902480850577,70.22688307235113,69.26766985864113,,,
1018611,80.06193577876815,79.29592770533058,77.61688980432544,79.72110322728314,78.76290784201488,80.99221789883268,79.93280091272105,79.09683681626127,79.31395215749113,78.41971219735039,79.3299920264267,,,
1018619,,,,,,,,,,,,,,
1018620,79.43892694063926,77.77465753424657,77.91404826958106,,,,,,,,,,,
1018621,,,,,78.66712375728488,79.71885714285715,78.6393666704636,78.1978524103267,78.35044005029147,79.39253083599817,79.64713927513107,78.52902193784278,81.1919412237401,82.83778715424285
1018598,80.79230417903631,79.34795590261828,78.0194738640246,79.40484350011424,75.09083628875415,78.83568075117371,78.36225422953818,76.90318893587839,77.6945778997941,78.05971683032656,79.89911080711354,,,
1148705,71.36786203746003,,71.30111480075901,70.88916227299356,,66.49747778044679,71.36982689441706,66.78427557793546,66.99554234769688,67.54101361400298,68.95439129926325,,,
1108824,75.16768117606523,79.09919447640966,76.76914044152184,77.42297499711948,73.9442025664528,72.14408331425956,73.16693290734824,70.3042485153038,74.92261904761905,77.07071861076203,80.4514359094093,,,
1100875,78.86241299303944,80.17401584111597,77.33741622371159,78.60636708424319,77.16817964644052,78.93586075345732,82.81051666857601,78.24779268432519,79.39029970258522,78.15024010976447,81.0091168091168,,,
1048899,,,,,,,,,,,,,,
1048898,,,,,,,,,,,,,,
1108910,78.44953185658827,77.73669179803518,77.82038724373577,78.63530486412422,77.52057855126999,78.79650092081032,79.86900476135176,77.97422253754286,78.8128009395185,76.36678082191781,79.7593924860112,,,
1098940,66.33721594153249,68.35739577384352,63.58093370910428,,,,,,,,,,,
