STATION_NAME,x,y,STN_ID,STATION_NAME,PROV_STATE_TERR_CODE,ENG_PROV_NAME,COUNTRY,LATITUDE,LONGITUDE,TIMEZONE,ELEVATION,CLIMATE_IDENTIFIER,TC_IDENTIFIER,WMO_IDENTIFIER,STATION_TYPE,NORMAL_CODE,PUBLICATION_CODE,DISPLAY_CODE,ENG_STN_OPERATOR_ACRONYM,ENG_STN_OPERATOR_NAME,FIRST_DATE,LAST_DATE,HLY_FIRST_DATE,HLY_LAST_DATE,DLY_FIRST_DATE,DLY_LAST_DATE,MLY_FIRST_DATE,MLY_LAST_DATE,HAS_MONTHLY_SUMMARY,HAS_NORMALS_DATA,HAS_HOURLY_DATA,HLY_REC_LENGTH,geometry,BB1,BB2,DSM,RBM
DELTA BURNS BOG,-123.0022458,49.12584806,49088,DELTA BURNS BOG,BC,BRITISH COLUMBIA,CAN,490733053,-1230008085,PST,3.1,1102415,VBB,71042.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2010-11-19 01:00:00,2022-06-07 12:30:00,2010-11-19 01:00:00,2022-06-07 12:30:00,2011-01-25 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,-4219 days +12:30:00,POINT (1218976.747515727 461249.3506286279),True,True,True,True
VANCOUVER INTL A,-123.1838889,49.19472222,51442,VANCOUVER INTL A,BC,BRITISH COLUMBIA,CAN,491141000,-1231102000,PST,4.3,1108395,YVR,71892.0,Aviation-Staffed,,,,NAVCAN,NAV Canada,2013-06-11 06:00:00,2022-06-07 12:30:00,2013-06-11 06:00:00,2022-06-07 12:30:00,2013-06-13 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,-3284 days +17:30:00,POINT (1205411.271972813 468349.9909762481),False,False,False,True
VANCOUVER SEA ISLAND CCG,-123.1872361,49.1825,51357,VANCOUVER SEA ISLAND CCG,BC,BRITISH COLUMBIA,CAN,491057000,-1231114050,PST,2.1,1108380,VVR,71608.0,Climate-Auto,,,,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,2013-03-20 06:00:00,2022-06-07 12:30:00,2013-03-20 06:00:00,2022-06-07 12:30:00,2013-04-25 00:00:00,2022-06-07 00:00:00,,,Y,N,Y,-3367 days +17:30:00,POINT (1205221.190652327 466983.4748814637),False,False,False,True
WHITE ROCK CAMPBELL SCIENTIFIC,-122.7838889,49.01805556,925,WHITE ROCK CAMPBELL SCIENTIFIC,BC,BRITISH COLUMBIA,CAN,490105000,-1224702000,PST,13.0,1108910,WWK,71785.0,Climate-Auto,F,1.0,7.0,ECCC - MSC,Environment and Climate Change Canada - Meteorological Service of Canada,1929-01-01 00:00:00,2022-06-07 12:30:00,1994-02-01 00:00:00,2022-06-07 12:30:00,1929-01-01 00:00:00,2022-06-07 00:00:00,1929-01-01 00:00:00,2007-02-01 00:00:00,Y,N,Y,-10354 days +11:30:00,POINT (1235460.140404583 449988.1886805503),False,False,True,False
